Zone,Lat,Lon,DistLand,DistObs,Area,Depth,x.pos,y.pos
A-1,59.15465,-2.8532,1.91012253,3.50902552,0.979116202,31.75846431,508395.975,6557282.04
A0,59.14769,-2.84612,1.862452339,3.064110158,0.760401116,31.79182113,508802.671,6556508.216
A1,59.14135,-2.83965,1.06842355,2.840182984,0.842939581,31.13100396,509174.448,6555802.311
A2,59.13506,-2.83318,0.292551942,2.821582962,0.75453055,22.85917617,509546.345,6555103.239
A3,59.13018,-2.82214,0.170562998,2.746960823,0.303557432,17.1537243,510179.953,6554561.199
A4,59.12328,-2.82055,0.315143456,3.337194654,0.737153276,19.46068857,510272.838,6553793.505
A5,59.11681,-2.81451,0.838612177,3.861817108,0.958580658,14.80334058,510620.725,6553074.086
B-1,59.15783,-2.84112,1.143404437,2.915935753,0.549305986,33.73045154,509086.273,6557637.011
B0,59.15075,-2.83392,1.533702255,2.357685232,0.417591555,34.08344092,509500.087,6556849.686
B1,59.14452,-2.82726,1.244909639,2.06149508,0.449137213,33.08213263,509882.4,6556157.468
B2,59.13836,-2.82086,0.661435574,2.044572126,0.403393818,37.59943518,510250.864,6555472.047
B3,59.13256,-2.81481,0.601249235,2.284764899,0.403701865,35.78560578,510598.389,6554827.379
B4,59.12664,-2.80865,0.932360966,2.71444677,0.412793307,32.31888194,510953.056,6554169.172
B5,59.12023,-2.80194,1.439065185,3.319364677,0.489928662,30.79462643,511339.453,6553456.724
C-1,59.16002,-2.83239,0.597201769,2.549220805,0.572577108,28.79156741,509584.768,6557882.886
C0,59.15294,-2.82513,1.194073652,1.889743232,0.431080001,32.20658354,510002.15,6557095.624
C1,59.1466,-2.81866,1.360997376,1.519810274,0.447112547,39.81153784,510374.092,6556389.835
C2,59.14055,-2.81231,1.146877944,1.509519127,0.398306776,44.73740718,510739.092,6555718.043
C3,59.13469,-2.80627,0.920932881,1.831008396,0.395178086,40.46904879,511086.697,6555066.624
C4,59.12878,-2.80011,0.952644515,2.353584162,0.394169093,33.89530166,511441.427,6554408.461
C5,59.12249,-2.79345,1.479090936,3.022257503,0.449645616,32.91339742,511824.355,6553709.644
D-1,59.16228,-2.82373,1.05427442,1.489520696,0.553708769,11.19551392,510079.691,6558135.613
D0,59.15508,-2.81646,0.159629784,2.262088185,0.406510546,30.49163269,510497.186,6557334.812
D1,59.14873,-2.81018,0.832870096,1.006229187,0.410674803,33.62875524,510858.723,6556629.042
D2,59.14263,-2.80407,0.71413719,1.01367589,0.365659707,34.578051,511209.838,6555950.459
D3,59.13677,-2.79815,0.439462481,1.464710557,0.360810528,31.1807194,511550.518,6555299.061
D4,59.13085,-2.79229,0.547139728,2.088862775,0.353899649,27.21671532,511887.841,6554640.887
D5,59.1245,-2.78589,1.256581139,2.817702185,0.388820406,31.73638765,512256.875,6553935.273
E-1,59.16454,-2.81189,0.172050503,1.990386972,0.88933115,6.095438731,510756.008,6558388.911
E0,59.15813,-2.80401,0.423032808,1.147453981,0.812611908,16.77236041,511208.261,6557676.633
E1,59.1513,-2.80096,0.241765158,0.508011208,0.529171898,23.0758938,511385.043,6556916.006
E2,59.14489,-2.79571,0.227086793,0.554101197,0.408363061,20.88408874,511687.448,6556203.342
E3,59.13823,-2.79016,0.005020509,1.275230681,0.307730924,7.066267109,512007.512,6555463.574
E4,59.13311,-2.78345,0.405381284,1.912401174,0.467970545,12.59816043,512393.514,6554893.945
E5,59.12682,-2.77716,1.185388931,2.685579148,0.548259807,25.9680109,512755.608,6554195.152
